,coefficient
const,-1.4371986220406567
loan_amnt,-1.0143955843497483
int_rate,-0.232555371577937
annual_inc,-0.6432451447250248
dti,-0.4972263424352902
mort_acc,-0.46247438322575984
home_ownership,-0.6316330762769432
grade,-0.6876490570126431
